mission_id,real_arrival_km,real_arrival_time,speed,arrival_time
2022061994,33,22,99.97,19.43
2022061992,24.4,21,104.83,13.75
2022061990,19.2,14,95.1,18.32
2022061989,22,14,44.21,25.13
2022061987,16.3,20,94.49,23.5
2022061981,38.6,27,103.13,46.03
2022061980,18.6,12,104.1,15.48
2022061976,26.1,15,105.87,38.82
2022061974,34.7,26,101.21,39.92
2022061973,41.1,25,104.12,23.05
2022061966,17.3,14,107.17,25.92
2022061953,15.2,14,94.12,22.98
2022061952,46.4,31,101.39,37.23
2022061951,16.5,13,101.24,19.27
2022061946,14.6,9,100.19,11.42
2022061944,12.2,8,97.87,9.22
2022061943,46.3,27,103.21,43.37
2022061942,16.3,11,103.07,28.35
2022061941,20.5,15,105.59,17.32
2022061940,12.6,8,108.92,15.37
2022061939,14.2,10,99.74,18.18
2022061936,16.5,11,104.17,17.25
2022061932,28.5,20,106.23,53.02
2022061931,21.8,14,99.32,24.65
2022061925,7.9,6,77.73,14.27
2022061924,27.6,18,65.9,30.63
2022061915,6.7,5,94.08,13.3
2022061914,8.6,6,79.4,13.88
2022061907,19.7,15,85.4,19.3
2022061904,6.4,7,84.51,6.3
2022061897,14.1,13,89.62,25.98
2022061895,24.4,21,100.42,16.58
2022061891,25.4,17,102.44,48.67
2022061889,31.8,21,100.18,19.45
2022061884,10.6,7,98.65,12.35
2022061883,14.8,12,98.85,30.38
2022061880,33,22,97.24,36.77
2022061879,12.1,8,87.99,15.28
2022061875,16.2,17,85.61,13.67
2022061874,22.5,18,100.09,17.33
2022061873,23.8,16,92.67,30.4
2022061872,27,18,103.52,43.17
2022061869,20.5,13,105.83,13.83
2022061864,17.2,12,104.21,11.78
2022061861,21.9,18,107.57,18.97
2022061860,22.3,18,107.95,16.55
2022061858,19.1,11,105.09,26.07
2022061856,16.6,13,105.51,19.63
2022061855,38.4,23,97.86,51.82
2022061854,10.1,6,101.84,9.37
2022061848,9.4,18,99.73,15.05
2022061844,17.3,15,95.09,11.55
2022061841,33.2,19,102.95,25.23
2022061838,7.1,5,103.85,10.18
2022061836,38.1,22,103.39,50.43
2022061832,24.8,17,92.76,23.6
2022061828,18.3,19,96.17,29.08
2022061826,1.6,1,94.38,3.63
2022061824,27.1,20,95.72,24.85
2022061822,12,8,95.21,27.78
2022061818,6.1,4,99.07,3.95
2022061813,29.8,19,102.48,25.12
2022061809,31.2,23,96.76,28.27
2022061808,11.2,8,91.91,13.08
2022061798,16.3,13,106.05,16.42
2022061796,20,13,107.78,34.6
2022061795,36.7,21,110.71,26.25
2022061792,22.2,18,104.08,23.42
2022061791,19.7,20,105.16,22.48
2022061783,27.5,20,96,37.62
2022061782,47,34,95.17,24.67
2022061781,24,15,100.96,21.5
2022061769,21.3,17,96.85,21.72
2022061762,19.1,13,99.98,19.63
2022061757,27.9,19,91.96,39.23
2022061755,13.4,13,110.64,11.97
2022061746,25.5,23,99.53,17.13
2022061745,38.1,22,103.99,30.53
2022061734,15.2,16,107.45,31.05
2022061733,6.7,5,104.22,10.35
2022061731,23.9,19,109.31,28.13
2022061727,9.6,7,82.24,22.12
2022061724,20.3,12,98.58,21.73
2022061721,16,11,93.62,16.35
2022061715,19,13,103.6,38.42
2022061710,12.2,11,98.86,12.7
2022061705,9.2,9,107.89,14.07
2022061701,23,20,101.28,30.15
2022061700,14.1,12,109.52,15.38
2022061695,35.1,21,101.16,23.33
2022061688,21.1,14,101.03,20.6
2022061685,17.5,14,108.29,17.58
2022061683,10.2,10,108.48,18.25
2022061682,22.5,18,105.6,27.83
2022061675,28.1,23,108.33,24.65
2022061673,7,5,104.3,5.35
2022061672,22.3,16,106.92,45.35
2022061668,25.9,24,101.62,24.13
2022061667,7.8,7,100.03,11.07
2022061665,17.9,14,106.6,26.22
2022061659,15.9,14,72.7,10.97
2022061656,10.7,9,94.65,11.5
2022061646,6.1,9,97.17,9.3
2022061637,19.3,15,97.11,13.8
2022061631,32.2,24,89.6,29.08
2022061628,29.4,18,109.99,44.58
2022061627,8,6,101.55,11.15
2022061626,16.8,12,98.63,23.5
2022061623,19.3,15,108.81,15.7
2022061622,25.6,17,104.73,26.23
2022061619,11,9,103.7,9.58
2022061618,12.1,10,101.59,16.05
2022061616,7.4,8,101.62,12.32
2022061614,12.3,7,103.13,19.87
2022061612,50.5,31,105.96,36.08
2022061611,14.8,11,105.5,18.45
2022061609,22.3,18,104.59,16
2022061608,44.6,26,107.74,41.95
2022061595,15.9,11,76.37,29.12
2022061594,25,17,85.07,27.93
2022061590,15.1,17,87.9,23.23
2022061580,4,2,73.14,9.37
2022061572,10.4,7,101.58,10.17
2022061567,4.7,8,93.59,8.92
2022061564,27.6,16,101.43,39.68
2022061558,48.4,30,103.03,69.48
2022061555,27.3,15,102.14,15.5
2022061542,36.5,24,101.61,26.27
2022061541,7.4,6,102.02,12.22
2022061540,6.3,4,90.78,7.03
2022061539,11.8,12,65.25,12.85
2022061537,22,14,94.15,11.97
2022061535,29.3,19,94.61,23.7
2022061534,16.5,20,94.71,33.4
2022061532,33,22,102.6,29.52
2022061531,12.8,12,78,28.33
