mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022061946,14.6,9,100.19,11.42,2
2022061944,12.2,8,97.87,9.22,2
2022061940,12.6,8,108.92,15.37,2
2022061939,14.2,10,99.74,18.18,2
2022061925,7.9,6,77.73,14.27,2
2022061915,6.7,5,94.08,13.3,2
2022061914,8.6,6,79.4,13.88,2
2022061904,6.4,7,84.51,6.3,2
2022061884,10.6,7,98.65,12.35,2
2022061879,12.1,8,87.99,15.28,2
2022061875,16.2,17,85.61,13.67,2
2022061864,17.2,12,104.21,11.78,2
2022061854,10.1,6,101.84,9.37,2
2022061848,9.4,18,99.73,15.05,2
2022061844,17.3,15,95.09,11.55,2
2022061838,7.1,5,103.85,10.18,2
2022061826,1.6,1,94.38,3.63,2
2022061818,6.1,4,99.07,3.95,2
2022061808,11.2,8,91.91,13.08,2
2022061798,16.3,13,106.05,16.42,2
2022061755,13.4,13,110.64,11.97,2
2022061733,6.7,5,104.22,10.35,2
2022061727,9.6,7,82.24,22.12,2
2022061721,16,11,93.62,16.35,2
2022061710,12.2,11,98.86,12.7,2
2022061705,9.2,9,107.89,14.07,2
2022061700,14.1,12,109.52,15.38,2
2022061683,10.2,10,108.48,18.25,2
2022061673,7,5,104.3,5.35,2
2022061667,7.8,7,100.03,11.07,2
2022061659,15.9,14,72.7,10.97,2
2022061656,10.7,9,94.65,11.5,2
2022061646,6.1,9,97.17,9.3,2
2022061637,19.3,15,97.11,13.8,2
2022061627,8,6,101.55,11.15,2
2022061619,11,9,103.7,9.58,2
2022061618,12.1,10,101.59,16.05,2
2022061616,7.4,8,101.62,12.32,2
2022061614,12.3,7,103.13,19.87,2
2022061611,14.8,11,105.5,18.45,2
2022061580,4,2,73.14,9.37,2
2022061572,10.4,7,101.58,10.17,2
2022061567,4.7,8,93.59,8.92,2
2022061541,7.4,6,102.02,12.22,2
2022061540,6.3,4,90.78,7.03,2
2022061539,11.8,12,65.25,12.85,2
2022061522,16.9,15,99.16,11.07,2
2022061473,15.6,10,97.03,14.87,2
2022061472,13.5,10,95.87,13.08,2
2022061463,10.8,6,108.79,8.75,2
2022061458,4.5,3,100.19,2.85,2
2022061447,9.8,10,91.37,18.47,2
2022061437,9.8,7,89.43,9.98,2
2022061393,8.1,6,101.51,19.03,2
2022061383,10,11,97.82,13.93,2
2022061357,9.2,9,98.75,17.53,2
2022061351,12.2,12,102.5,13.03,2
2022061293,6.4,7,101.49,8.35,2
2022061284,11.4,10,93.68,11.85,2
2022061279,12.7,9,97.2,15.87,2
2022061277,12.5,9,94.2,10.33,2
2022061273,10.5,10,105.16,15.53,2
2022061246,9,5,99.95,10.05,2
2022061233,11.8,9,94.53,10.27,2
2022061228,10.3,9,87.99,7.32,2
2022061221,14.1,16,103.65,9.03,2
2022061186,14.7,10,92.43,17.17,2
2022061162,8.8,10,93.15,14.35,2
2022061151,16.4,19,102.32,14.95,2
2022061144,6.7,11,110.01,7.95,2
2022061138,14.8,11,107.84,15.17,2
2022061137,11.2,11,106.77,12.02,2
2022061136,11.5,9,103.74,12.83,2
2022061135,1.6,1,71.4,1.83,2
2022061107,16.5,15,109.5,16.07,2
2022061094,19.5,15,99.81,10.87,2
2022061080,13.7,13,99.26,17.85,2
2022061077,9.1,10,103.18,15.22,2
2022061074,15.5,9,108.32,14.57,2
2022061072,9.1,6,107.02,14.87,2
2022061068,14.4,8,98.49,11.4,2
2022061062,13.1,11,102.21,12.68,2
2022061018,11.7,8,102.79,18.93,2
2022061017,12.7,8,102.74,8.37,2
2022061002,10.7,6,96.18,21.92,2
2022060992,16.9,12,97.26,9.7,2
2022060985,7.8,8,109.18,10.35,2
2022060980,1.5,1,104.13,1.2,2
2022060979,11.8,18,104.38,18.65,2
2022060967,7.9,6,103.91,10.13,2
2022060943,7.4,5,105.43,16.3,2
2022060941,3.8,7,95.86,7.65,2
2022060933,10.7,9,107.15,14.03,2
2022060916,13,9,105.47,12.5,2
2022060893,13.6,11,104.83,16.08,2
2022060877,16.1,12,96.11,8.35,2
2022060872,9,5,81.94,11.88,2
2022060870,14.7,9,82.14,17.57,2
2022060867,17.9,15,96.9,11.22,2
2022060862,10.3,7,101.08,13.65,2
2022060856,6.9,6,101.34,15.8,2
2022060853,18.4,13,85.16,10.4,2
2022060845,13.9,9,105.41,9.08,2
2022060833,11.3,9,101.67,6.37,2
2022060830,11.1,9,101.9,12.1,2
2022060820,8.7,6,102.8,14.18,2
2022060817,13.1,9,106.71,18.75,2
2022060811,11.8,18,108.8,16.1,2
2022060804,14.3,9,107.15,9.52,2
2022060787,15.5,15,107.85,15.87,2
2022060767,0.6,1,107.44,0.87,2
2022060751,9.6,7,108.77,12.07,2
2022060750,14.2,12,108.92,17.98,2
2022060748,10.6,8,109.91,8.95,2
2022060737,8.7,6,84.66,12.45,2
2022060731,10.8,11,100.58,21.05,2
2022060720,12.9,11,109.68,17.95,2
2022060708,8.3,7,108.24,12.27,2
2022060697,9.1,6,102.22,15.88,2
2022060695,6.7,8,104.81,12.33,2
